event,cases,lost_days,days_per_case
Contact with non-running objects or equipment,40,258,6.5
Struck by object or equipment,29,295,10.2
Overexertion while moving external objects,17,256,15.1
Overexertion involving outside sources,17,888,52.2
Exposure to other harmful substances,16,103,6.4
Falls on same level,15,751,50.1
Struck by propelled/falling/suspended object,14,217,15.5
Caught in or compressed by equipment,14,217,15.5
Struck against object or equipment,12,75,6.3
Slip/trip/stumble or fall on same level,12,589,49.1
Falls to lower level,11,96,8.7
Repetitive motions (microtasks),10,497,49.7
Slip or trip without fall,8,305,38.1
Rubbed or abraded by friction or pressure,7,151,21.6
