INDUSTRY,ESTABLISHMENT_YEARS,MEDIAN_TCR,MEDIAN_DART
Wood product,25080,4.60,2.60
Beverage & tobacco,9315,3.80,2.20
Leather,740,3.80,2.20
Primary metal,15533,3.80,2.00
Furniture,11621,3.60,1.80
Other transportation equip.,27305,3.40,1.60
Food,48837,3.40,2.20
Fabricated metal,73197,3.20,1.40
Nonmetallic mineral,25761,3.20,1.80
Plastics & rubber,35330,2.80,1.40
Textile mills,4347,2.60,1.20
Textile product mills,2654,2.60,1.20
Machinery,42951,2.20,0.80
Printing,13561,2.00,0.80
Paper,16845,2.00,1.20
Apparel,1445,2.00,0.60
Electrical equipment,11145,1.60,0.80
Miscellaneous mfg,16828,1.60,0.60
Chemical,40733,1.40,0.40
Aerospace (3364),8686,1.20,0.40
Petroleum & coal,4315,0.60,0.00
Computer & electronics,22887,0.20,0.00
