naics3,subsector,pattern
332,Fabricated metal product,inverse (low-intensity TCR > high)
311,Food manufacturing,inverse (low-intensity TCR > high)
333,Machinery manufacturing,inverse (low-intensity TCR > high)
325,Chemical manufacturing,inverse (low-intensity TCR > high)
336,Transportation equipment,inverse (low-intensity TCR > high)
326,Plastics and rubber products,inverse (low-intensity TCR > high)
327,Nonmetallic mineral product,inverse (low-intensity TCR > high)
321,Wood product manufacturing,inverse (low-intensity TCR > high)
322,Paper manufacturing,inverse (low-intensity TCR > high)
339,Miscellaneous manufacturing,inverse (low-intensity TCR > high)
331,Primary metal manufacturing,inverse (low-intensity TCR > high)
337,Furniture and related product,inverse (low-intensity TCR > high)
323,Printing and related support,flat (low = high)
335,Electrical equipment/appliance,flat (low = high)
334,Computer and electronic product,marginal reversal (safest subsector; gap 0.6)
